COURSE,MODULE,LINK
How to Network in the Music Industry,1,https://app.heygen.com/videos/f3c26bca96c448f588b0a71d6f9d856d
,2,https://app.heygen.com/videos/90b05d1665024d75ab09f89c083b3ab5
,3,https://app.heygen.com/videos/a5d2a2ef9cfd4ac880c7506eddb9ec54
,4,https://app.heygen.com/videos/233f974e73c44f5b92cce74f41815a55
,5,https://app.heygen.com/videos/c257923f448249df9dcce9dce5eae585
,6,https://app.heygen.com/videos/191170b50db3485db3c6cfad398ab51d
,7,https://app.heygen.com/videos/6d903b83c9df4c0f99f97e70a8fed0a7
,8,https://app.heygen.com/videos/e5e9363a769e4d0a89f031a9c98ef6e4
,,
How to Trademark Your Music,1,https://app.heygen.com/videos/65ec7ab8699a4d619c2ce0ab2ca0809b
,2,https://app.heygen.com/videos/1feeee8f2fb4429ca3a600b09e31316d
,3,https://app.heygen.com/videos/f657a50b636c4d0dbd51e6573b333a3f
,4,https://app.heygen.com/videos/6b340ffdfcdc4217bc2f36c77c167924
,5,https://app.heygen.com/videos/7813ac8cc0b244c1ad0bec4f73b794ab
,6,https://app.heygen.com/videos/369411b2111b470aa78b13f7d80b3a91
,7,https://app.heygen.com/videos/cdde9d24913646d18d3ac3bf1b10c315
